title,pubDate,link
b'Weak rupee takes its toll on cos with huge foreign debt',"b'Wed, 01 Oct 2008 03:10:42 GMT'",b'http://economictimes.indiatimes.com/markets/forex/weak-rupee-takes-its-toll-on-cos-with-huge-foreign-debt/articleshow/3546158.cms'
b'Wait for more signals before turning positive',"b'Sun, 27 Jul 2008 22:40:49 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/recos/wait-for-more-signals-before-turning-positive/articleshow/3292640.cms'
"b""Six Indian cos among BusinessWeek's top 100 Infotech firms""","b'Wed, 02 Jul 2008 13:55:05 GMT'",b'http://economictimes.indiatimes.com/news/company/corporate-trends/six-indian-cos-among-businessweeks-top-100-infotech-firms/articleshow/3189334.cms'
b'Indian firms slip in global ranking; four move out of Top-500',"b'Sun, 29 Jun 2008 06:08:01 GMT'",b'http://economictimes.indiatimes.com/news/company/corporate-trends/indian-firms-slip-in-global-ranking-four-move-out-of-top-500/articleshow/3177077.cms'
"b""'Big Daddy' laps up Cipla after Q1 nos beat forecast""","b'Fri, 13 Aug 2010 22:05:24 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/news/big-daddy-laps-up-cipla-after-q1-nos-beat-forecast/articleshow/6308646.cms'
b'Old Fox has dream run on Dalal Street',"b'Fri, 13 Aug 2010 21:56:46 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/news/old-fox-has-dream-run-on-dalal-street/articleshow/6308631.cms'
b'Cairn India hits record high on BSE amid stake sale talks',"b'Fri, 13 Aug 2010 14:41:07 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/news/cairn-india-hits-record-high-on-bse-amid-stake-sale-talks/articleshow/6306679.cms'
b'Vedanta plunges 5.59% on LSE amid talks to buy Cairn stake',"b'Fri, 13 Aug 2010 13:56:27 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/news/vedanta-plunges-5-59-per-cent-on-lse-amid-talks-to-buy-cairn-stake/articleshow/6306526.cms'
b'SBI shares on gaining spree; hit record high',"b'Fri, 13 Aug 2010 13:17:42 GMT'",b'http://economictimes.indiatimes.com/markets/stocks/news/sbi-shares-on-gaining-spree-hit-record-high/articleshow/6306241.cms'
b'FM must rethink',"b'Fri, 05 Mar 2010 00:02:47 GMT'",b'http://economictimes.indiatimes.com/fm-must-rethink/articleshow/5645094.cms'
b'Amalgamate banks',"b'Fri, 05 Mar 2010 00:01:28 GMT'",b'http://economictimes.indiatimes.com/amalgamate-banks/articleshow/5645086.cms'
b'Managing data',"b'Mon, 12 Oct 2009 21:10:52 GMT'",b'http://economictimes.indiatimes.com/managing-data/articleshow/5117958.cms'
b'Right technology',"b'Mon, 12 Oct 2009 21:09:54 GMT'",b'http://economictimes.indiatimes.com/right-technology/articleshow/5117957.cms'
b'ET Search',"b'Tue, 06 Aug 2013 08:15:00 GMT'",b'http://economictimes.indiatimes.com/et-search/articleshow/21646857.cms'
"b""After the Oscars, what's next for silent stars of The Artist?""","b'Tue, 28 Feb 2012 19:12:07 GMT'",b'http://economictimes.indiatimes.com/after-the-oscars-whats-next-for-silent-stars-of-the-artist/articleshow/12075465.cms'
b'Delhi World Book fair: A fair like no other',"b'Sat, 25 Feb 2012 02:08:37 GMT'",b'http://economictimes.indiatimes.com/delhi-world-book-fair-a-fair-like-no-other/articleshow/12028630.cms'
b'Indian gift makes its way to State Department exhibition',"b'Fri, 24 Feb 2012 08:09:49 GMT'",b'http://economictimes.indiatimes.com/lk-advanis-gift-makes-its-way-to-state-department-exhibition-hall/articleshow/12017534.cms'
b'IMD to use dynamic models for forecasts',"b'Tue, 21 Feb 2012 20:49:54 GMT'",b'http://economictimes.indiatimes.com/india-meteorological-department-to-use-dynamic-models-for-forecasts/articleshow/11983844.cms'
