title,pubDate,description,link
Prabhudas Lilladher has a reduce rating on Infosys,"Fri, 05 Dec 2008 18:30:00 GMT",Prabhudas Lilladher has a ‘reduce’ rating on Infosys Technologies as it feels that the outlook for the company and the software industry is quite weak in the near-term.,http://economictimes.indiatimes.com/markets/stocks/recos/prabhudas-lilladher-has-a-reduce-rating-on-infosys/articleshow/3798718.cms
Fin Crisis: Too late and too little done in US,"Thu, 04 Dec 2008 20:35:00 GMT",A crisis of $240 trillion cannot be stemmed with bailout packages of $1 to $10 trillion. 2008: Year of global financial crisis | Survive credit crisis | Ghosts of 1929,http://economictimes.indiatimes.com/markets/stocks/recos/fin-crisis-too-late-and-too-little-done-in-us/articleshow/3794549.cms
Weak rupee takes its toll on cos with huge foreign debt,"Wed, 01 Oct 2008 03:10:42 GMT","The falling rupee will severely affect the small companies, whereas the big ones will be impacted moderately. Get rid of Debt | Adopt correct investment strategies",http://economictimes.indiatimes.com/markets/forex/weak-rupee-takes-its-toll-on-cos-with-huge-foreign-debt/articleshow/3546158.cms
Wait for more signals before turning positive,"Sun, 27 Jul 2008 22:40:49 GMT","At the recent low of 12514 points, the Sensex has tested the 12800-12000-pts support zone and has since then attempted a corrective rally.",http://economictimes.indiatimes.com/markets/stocks/recos/wait-for-more-signals-before-turning-positive/articleshow/3292640.cms
Six Indian cos among BusinessWeek's top 100 Infotech firms,"Wed, 02 Jul 2008 13:55:05 GMT","BusinessWeek's 'The Infotech 100', has ranked Bharti Airtel at the 21st position followed by Reddington India (55th) and RCom (66th). Successful business formula",http://economictimes.indiatimes.com/news/company/corporate-trends/six-indian-cos-among-businessweeks-top-100-infotech-firms/articleshow/3189334.cms
Indian firms slip in global ranking; four move out of Top-500,"Sun, 29 Jun 2008 06:08:01 GMT",14 firms present in a new list of world's 500 most valued firms together seeing an erosion of about $150 billion in their market value in the first three months of this year.,http://economictimes.indiatimes.com/news/company/corporate-trends/indian-firms-slip-in-global-ranking-four-move-out-of-top-500/articleshow/3177077.cms
'Big Daddy' laps up Cipla after Q1 nos beat forecast,"Fri, 13 Aug 2010 22:05:24 GMT","Shares of Cipla inched up on heavy volumes on Friday, after the company’s first quarter earnings beat the consensus estimate.",http://economictimes.indiatimes.com/markets/stocks/news/big-daddy-laps-up-cipla-after-q1-nos-beat-forecast/articleshow/6308646.cms
Old Fox has dream run on Dalal Street,"Fri, 13 Aug 2010 21:56:46 GMT","The Old Fox of Dalal Street has been on a dream run since the past couple of weeks. On Friday, most stocks that he had been steadily building up positions in figured among key gainers of the day.",http://economictimes.indiatimes.com/markets/stocks/news/old-fox-has-dream-run-on-dalal-street/articleshow/6308631.cms
Cairn India hits record high on BSE amid stake sale talks,"Fri, 13 Aug 2010 14:41:07 GMT","The scrip, which was flat for most of the session, shot up in the final hour of trade on the Bombay Stock Exchange to settle with a net gain of 4.36 per cent at Rs 355.45.",http://economictimes.indiatimes.com/markets/stocks/news/cairn-india-hits-record-high-on-bse-amid-stake-sale-talks/articleshow/6306679.cms
Vedanta plunges 5.59% on LSE amid talks to buy Cairn stake,"Fri, 13 Aug 2010 13:56:27 GMT","In the late afternoon session, the scrip was being traded at 20.61 pounds, down by 5.50 per cent on the LSE. Vedanta opened on a positive note, but soon swung into the red.",http://economictimes.indiatimes.com/markets/stocks/news/vedanta-plunges-5-59-per-cent-on-lse-amid-talks-to-buy-cairn-stake/articleshow/6306526.cms
